Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Sacramento County (Central)..."
"PRS-Exercise Trainers And Group Fitness Instructors","79"
"PRS-Recreation Workers","116"
"PRS-Residential Advisors","0"
"PRS-Personal Care And Service Workers, All Other","93"
"SAL-First-Line Supervisors Of Retail Sales Workers","1308"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","536"
"SAL-Cashiers","1500"
"SAL-Counter And Rental Clerks","79"
"SAL-Parts Salespersons","0"
"SAL-Retail Salespersons","1774"
"SAL-Advertising Sales Agents","279"
"SAL-Insurance Sales Agents","106"
"SAL-Securities, Commodities, And Financial Services Sales Agents","0"
"SAL-Travel Agents","0"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","379"
"SAL-Sales Representatives, Wholesale And Manufacturing","140"
"SAL-Models, Demonstrators, And Product Promoters","0"
"SAL-Real Estate Brokers And Sales Agents","168"
"SAL-Sales Engineers","0"
"SAL-Telemarketers","0"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","0"
"SAL-Sales And Related Workers, All Other","233"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","491"
"OFF-Switchboard Operators, Including Answering Service","0"
"OFF-Telephone Operators","0"
"OFF-Communications Equipment Operators, All Other","0"
"OFF-Bill And Account Collectors","34"
"OFF-Billing And Posting Clerks","541"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","540"
"OFF-Payroll And Timekeeping Clerks","279"
"OFF-Procurement Clerks","84"
"OFF-Tellers","0"
"OFF-Other Financial Clerks","0"
"OFF-Court, Municipal, And License Clerks","64"
"OFF-Credit Authorizers, Checkers, And Clerks","0"
"OFF-Customer Service Representatives","1565"
"OFF-Eligibility Interviewers, Government Programs","717"
"OFF-File Clerks","347"
"OFF-Hotel, Motel, And Resort Desk Clerks","0"
"OFF-Interviewers, Except Eligibility And Loan","97"
"OFF-Library Assistants, Clerical","59"
"OFF-Loan Interviewers And Clerks","136"
"OFF-New Accounts Clerks","66"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","0"
"OFF-Receptionists And Information Clerks","469"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","0"
"OFF-Correspondence Clerks And Order Clerks","0"
"OFF-Other Information And Records Clerks","0"
"OFF-Cargo And Freight Agents","0"
"OFF-Couriers And Messengers","356"
"OFF-Public Safety Telecommunicators","70"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","421"
"OFF-Meter Readers, Utilities","0"
"OFF-Postal Service Clerks","0"
"OFF-Postal Service Mail Carriers","0"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","0"
"OFF-Production, Planning, And Expediting Clerks","40"
"OFF-Shipping, Receiving, And Inventory Clerks","561"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","0"
"OFF-Executive Secretaries And Executive Administrative Assistants","0"
"OFF-Legal Secretaries And Administrative Assistants","0"
"OFF-Medical Secretaries And Administrative Assistants","0"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","1034"
"OFF-Data Entry Keyers","292"
"OFF-Word Processors And Typists","120"
"OFF-Insurance Claims And Policy Processing Clerks","72"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","0"
"OFF-Office Clerks, General","547"
"OFF-Office Machine Operators, Except Computer","0"
"OFF-Proofreaders And Copy Markers","0"
"OFF-Statistical Assistants","0"
"OFF-Other Office And Administrative Support Workers","369"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","59"
"FFF-Agricultural Inspectors","0"
"FFF-Graders And Sorters, Agricultural Products","82"
"FFF-Other Agricultural Workers","27"
"FFF-Fishing And Hunting Workers","169"
"FFF-Forest And Conservation Workers","0"
"FFF-Logging Workers","0"
